Code|Name|Type|Class|Status|Description
|Cash in Hand|BANK|ASSET|ACTIVE|
200|Sales|REVENUE|REVENUE|ACTIVE|Income from any normal business activity
260|Other Revenue|REVENUE|REVENUE|ACTIVE|Any other income that does not relate to normal business activities and is not recurring
270|Interest Income|REVENUE|REVENUE|ACTIVE|Interest income
310|Cost of Goods Sold|DIRECTCOSTS|EXPENSE|ACTIVE|Cost of goods sold by the business
400|Advertising|EXPENSE|EXPENSE|ACTIVE|Expenses incurred for advertising while trying to increase sales
404|Bank Fees|EXPENSE|EXPENSE|ACTIVE|Fees charged by your bank for transactions regarding your bank account(s).
408|Cleaning|EXPENSE|EXPENSE|ACTIVE|Expenses incurred for cleaning  business property.
412|Consulting & Accounting|EXPENSE|EXPENSE|ACTIVE|Expenses related to paying consultants
416|Depreciation|EXPENSE|EXPENSE|ACTIVE|The amount of the asset's cost (based on the useful life) that was consumed during the period
420|Entertainment|EXPENSE|EXPENSE|ACTIVE|Expenses paid by company for the business but are not deductable for income tax purposes.
425|Freight & Courier|EXPENSE|EXPENSE|ACTIVE|Expenses incurred on courier & freight costs
429|General Expenses|EXPENSE|EXPENSE|ACTIVE|General expenses related to the running of the business.
433|Health Insurance|EXPENSE|EXPENSE|ACTIVE|Expenses incurred for insuring the business' assets
434|Building Insurance|EXPENSE|EXPENSE|ACTIVE|Fire insurance for the building
437|Interest Expense|EXPENSE|EXPENSE|ACTIVE|Any interest expenses paid to your tax authority, business bank accounts or credit card accounts.
440|Taxes and Licenses|EXPENSE|EXPENSE|ACTIVE|
441|Legal expenses|EXPENSE|EXPENSE|ACTIVE|Expenses incurred on any legal matters
445|Meralco, Light, Power, Heating|EXPENSE|EXPENSE|ACTIVE|Expenses incurred for lighting, powering or heating the premises
446|Water|EXPENSE|EXPENSE|ACTIVE|Water Expenses for the entire building
447|Garbage|EXPENSE|EXPENSE|ACTIVE|Building's Garbage service
449|Motor Vehicle Expenses|EXPENSE|EXPENSE|ACTIVE|Expenses incurred on the running of company motor vehicles
453|Office Expenses|EXPENSE|EXPENSE|ACTIVE|General expenses related to the running of the business office.
