Type|InvoiceNumber|Date|Contact|Description|AccountCode|Quantity|UnitAmount|LineAmount|InvoiceTotal|Status
Sale|INV-0004|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|15000.0|VOIDED
Sale|INV-0004|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|15000.0|VOIDED
Sale|INV-0004|/Date(1451606400000+0000)/|Unit D|Electricity Unit D||1.0|||15000.0|VOIDED
Sale|INV-0004|/Date(1451606400000+0000)/|Unit D|Water D||1.0|||15000.0|VOIDED
Sale|INV-0006|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|16200.0|VOIDED
Sale|INV-0006|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|16200.0|VOIDED
Sale|INV-0006|/Date(1451606400000+0000)/|Unit D|Electricity Unit D|200|1.0|500.0|500.0|16200.0|VOIDED
Sale|INV-0006|/Date(1451606400000+0000)/|Unit D|Water D|200|1.0|700.0|700.0|16200.0|VOIDED
Sale|INV-0009|/Date(1451606400000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|15000.0|DELETED
Sale|INV-0009|/Date(1451606400000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|15000.0|DELETED
Sale|INV-0009|/Date(1451606400000+0000)/|Unit B|Electricity Unit B|200|1.0|||15000.0|DELETED
Sale|INV-0009|/Date(1451606400000+0000)/|Unit B|Water Unit B|200|1.0|||15000.0|DELETED
Sale|INV-0001|/Date(1451606400000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|20370.0|PAID
Sale|INV-0001|/Date(1451606400000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|20370.0|PAID
Sale|INV-0001|/Date(1451606400000+0000)/|Unit A|Electricity Unit A|200|1.0|5068.0|5068.0|20370.0|PAID
Sale|INV-0001|/Date(1451606400000+0000)/|Unit A|Water Unit A|200|1.0|1302.0|1302.0|20370.0|PAID
Sale|INV-0002|/Date(1451606400000+0000)/|Unit B|Water Unit B|200|1.0|806.0|806.0|19488.0|PAID
Sale|INV-0002|/Date(1451606400000+0000)/|Unit B|Electricity Unit B|200|1.0|3682.0|3682.0|19488.0|PAID
Sale|INV-0002|/Date(1451606400000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|19488.0|PAID
Sale|INV-0002|/Date(1451606400000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|19488.0|PAID
Sale|INV-0003|/Date(1451606400000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|17436.0|PAID
Sale|INV-0003|/Date(1451606400000+0000)/|Unit C|Electricity Unit C|200|1.0|2630.0|2630.0|17436.0|PAID
Sale|INV-0003|/Date(1451606400000+0000)/|Unit C|Water Unit C|200|1.0|806.0|806.0|17436.0|PAID
Sale|INV-0003|/Date(1451606400000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|17436.0|PAID
Sale|INV-0008|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|17991.0|PAID
Sale|INV-0008|/Date(1451606400000+0000)/|Unit D|Electricity Unit D|200|1.0|2185.0|2185.0|17991.0|PAID
Sale|INV-0008|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|17991.0|PAID
Sale|INV-0008|/Date(1451606400000+0000)/|Unit D|Water Unit D|200|1.0|806.0|806.0|17991.0|PAID
Sale|INV-0010|/Date(1451606400000+0000)/|Unt F|Dues Unit F - charge to deposit 1000||1.0|||317.51|PAID
Sale|INV-0010|/Date(1451606400000+0000)/|Unt F|Electricity Unit F|200|1.0|131.51|131.51|317.51|PAID
Sale|INV-0010|/Date(1451606400000+0000)/|Unt F|Rent Unit F - charge to deposit 14000||1.0|||317.51|PAID
Sale|INV-0010|/Date(1451606400000+0000)/|Unt F|Water Unit F|200|1.0|186.0|186.0|317.51|PAID
Sale|INV-0007|/Date(1451606400000+0000)/|Unit E|Unit E Water|200|1.0|2046.0|2046.0|24380.0|PAID
Sale|INV-0007|/Date(1451606400000+0000)/|Unit E|Unit E Dues|200|1.0|7334.0|7334.0|24380.0|PAID
Sale|INV-0007|/Date(1451606400000+0000)/|Unit E|Electricity Unit E|200|1.0|14000.0|14000.0|24380.0|PAID
Sale|INV-0007|/Date(1451606400000+0000)/|Unit E|Dues Unit F|200|1.0|1000.0|1000.0|24380.0|PAID
Sale|INV-0012|/Date(1454284800000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0018|/Date(1454284800000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0013|/Date(1454284800000+0000)/|Unit D|Rent Unit D||1.0||||PAID
Sale|INV-0020|/Date(1454284800000+0000)/|Unit D|Dues Unit D||1.0||||PAID
Sale|INV-0014|/Date(1454284800000+0000)/|Unit E|Rent Unit E|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0021|/Date(1454284800000+0000)/|Unit E|Dues Unit E|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0027|/Date(1454284800000+0000)/|Unit E|Water Unit E|200|1.0|649.0|649.0|649.0|PAID
Sale|INV-0016|/Date(1454284800000+0000)/|Unt F|Rent Unit F||1.0||||PAID
Sale|INV-0022|/Date(1454284800000+0000)/|Unit F|Dues Unit F||1.0||||PAID
Sale|INV-0028|/Date(1454284800000+0000)/|Unit F|Water Unit F||1.0||||PAID
Sale|INV-0035|/Date(1454371200000+0000)/|Unit F|1month advance 2months deposit|200|1.0|45000.0|45000.0|45000.0|PAID
Sale|INV-0054|/Date(1456790400000+0000)/|Unit A|Electricity Unit A|200|1.0|3014.0|3014.0|3014.0|VOIDED
Sale|INV-0059|/Date(1456790400000+0000)/|Unit F|Electricity Unit F|200|1.0|253.0|253.0|253.0|VOIDED
Sale|INV-0058|/Date(1456790400000+0000)/|Unit E|Electricity Unit E|200|1.0||||PAID
Sale|INV-0057|/Date(1456790400000+0000)/|Unit D|Electricity Unit D|200|1.0|2376.0|2376.0|2376.0|VOIDED
Sale|INV-0056|/Date(1456790400000+0000)/|Unit C|Electricity Unit C|200|1.0|3190.0|3190.0|3190.0|VOIDED
Sale|INV-0055|/Date(1456790400000+0000)/|Unit B|Electricity Unit B|200|1.0|4356.0|4356.0|4356.0|VOIDED
Sale|INV-0046|/Date(1456790400000+0000)/|Unit E|Dues Unit E|200|1.0|500.0|500.0|500.0|PAID
Sale|INV-0039|/Date(1456790400000+0000)/|Unit E|Rent Unit E|200|1.0|7000.0|7000.0|7000.0|PAID
Sale|INV-0032|/Date(1454284800000+0000)/|Unit D|Electricity Unit D|200|1.0|2376.0|2376.0|2376.0|PAID
Sale|INV-0031|/Date(1454284800000+0000)/|Unit C|Electricity Unit C|200|1.0|3190.0|3190.0|3190.0|PAID
Sale|INV-0026|/Date(1454284800000+0000)/|Unit D|Water Unit D|200|1.0|826.0|826.0|826.0|PAID
Sale|INV-0019|/Date(1454284800000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0015|/Date(1454284800000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0025|/Date(1454284800000+0000)/|Unit C|Water Unit C|200|1.0|944.0|944.0|944.0|PAID
Sale|INV-0047|/Date(1456790400000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0041|/Date(1456790400000+0000)/|Unt F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0045|/Date(1456790400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0038|/Date(1456790400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0034|/Date(1454284800000+0000)/|Unit F|Electricity Unit F|200|1.0|253.0|253.0|253.0|PAID
Sale|INV-0030|/Date(1454284800000+0000)/|Unit B|Electricity Unit B|200|1.0|4356.0|4356.0|4356.0|PAID
Sale|INV-0024|/Date(1454284800000+0000)/|Unit B|Water Unit B|200|1.0|826.0|826.0|826.0|PAID
Sale|INV-0043|/Date(1456790400000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0037|/Date(1456790400000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0066|/Date(1456790400000+0000)/|Unit E|Electricity Unit E|200|1.0||||DELETED
Sale|INV-0023|/Date(1454284800000+0000)/|Unit A|Water Unit A|200|1.0|767.0|767.0|767.0|PAID
Sale|INV-0029|/Date(1454284800000+0000)/|Unit A|Electricity Unit A|200|1.0|3014.0|3014.0|3014.0|PAID
Sale|INV-0011|/Date(1454284800000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0017|/Date(1454284800000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0033|/Date(1454284800000+0000)/|Unit E|Electricity Unit E|200|1.0|7722.0|7722.0|7722.0|PAID
