Date|Contact|Amount|Reference
/Date(1452038400000+0000)/|Unit A|20370.0|
/Date(1452038400000+0000)/|Unit B|19488.0|
/Date(1452038400000+0000)/|Unit C|17436.0|
/Date(1452038400000+0000)/|Unit D|17991.0|
/Date(1451952000000+0000)/|Unt F|317.51|
/Date(1454112000000+0000)/|Unit E|24380.0|
/Date(1454889600000+0000)/|Unit B|14000.0|
/Date(1454889600000+0000)/|Unit B|1000.0|
/Date(1455494400000+0000)/|Unit E|14000.0|
/Date(1455494400000+0000)/|Unit E|1000.0|
/Date(1455494400000+0000)/|Unit E|649.0|
/Date(1454371200000+0000)/|Unit F|45000.0|
/Date(1456790400000+0000)/|Unit E|500.0|
/Date(1456790400000+0000)/|Unit E|7000.0|
/Date(1456876800000+0000)/|Unit D|2376.0|
/Date(1456876800000+0000)/|Unit C|3190.0|
/Date(1456876800000+0000)/|Unit D|826.0|
/Date(1456876800000+0000)/|Unit C|1000.0|
/Date(1456876800000+0000)/|Unit C|13000.0|
/Date(1456876800000+0000)/|Unit C|944.0|
/Date(1456963200000+0000)/|Unit F|1000.0|
/Date(1456963200000+0000)/|Unt F|14000.0|
/Date(1456963200000+0000)/|Unit D|1000.0|
/Date(1456963200000+0000)/|Unit D|14000.0|
/Date(1457308800000+0000)/|Unit F|253.0|
/Date(1457308800000+0000)/|Unit B|4356.0|
/Date(1457308800000+0000)/|Unit B|826.0|
/Date(1457308800000+0000)/|Unit B|1000.0|
/Date(1457308800000+0000)/|Unit B|14000.0|
/Date(1457481600000+0000)/|Unit A|767.0|
/Date(1457481600000+0000)/|Unit A|3014.0|
/Date(1457481600000+0000)/|Unit A|13000.0|
/Date(1457481600000+0000)/|Unit A|1000.0|
/Date(1457913600000+0000)/|Unit E|7722.0|
/Date(1457913600000+0000)/|Unit E|1215.0|
/Date(1458000000000+0000)/|Unit A|1000.0|
/Date(1458000000000+0000)/|Unit A|13000.0|
/Date(1459468800000+0000)/|Unit D|1000.0|
/Date(1459468800000+0000)/|Unit C|1000.0|
/Date(1459468800000+0000)/|Unit D|14000.0|
/Date(1459468800000+0000)/|Unit C|13000.0|
/Date(1459468800000+0000)/|Unit C|3050.0|
/Date(1459468800000+0000)/|Unit D|2010.0|
/Date(1459468800000+0000)/|Unit D|790.0|
/Date(1459468800000+0000)/|Unit C|850.0|
/Date(1459728000000+0000)/|Unit E|14000.0|
/Date(1459728000000+0000)/|Unit E|1000.0|
/Date(1459728000000+0000)/|Unit F|364.0|
/Date(1459728000000+0000)/|Unit F|370.0|
/Date(1460246400000+0000)/|Unit E|7140.0|
/Date(1460246400000+0000)/|Unit B|14000.0|
/Date(1460246400000+0000)/|Unit B|1000.0|
/Date(1460246400000+0000)/|Unit A|13000.0|
/Date(1460246400000+0000)/|Unit A|1000.0|
