InvoiceNumber|Date|Contact|Description|AccountCode|Quantity|UnitAmount|LineAmount|Total|Status|Type
INV-0004|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|15000.0|VOIDED|Sales
INV-0004|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|15000.0|VOIDED|Sales
INV-0004|/Date(1451606400000+0000)/|Unit D|Electricity Unit D||1.0|||15000.0|VOIDED|Sales
INV-0004|/Date(1451606400000+0000)/|Unit D|Water D||1.0|||15000.0|VOIDED|Sales
INV-0006|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|16200.0|VOIDED|Sales
INV-0006|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|16200.0|VOIDED|Sales
INV-0006|/Date(1451606400000+0000)/|Unit D|Electricity Unit D|200|1.0|500.0|500.0|16200.0|VOIDED|Sales
INV-0006|/Date(1451606400000+0000)/|Unit D|Water D|200|1.0|700.0|700.0|16200.0|VOIDED|Sales
INV-0009|/Date(1451606400000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|15000.0|DELETED|Sales
INV-0009|/Date(1451606400000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|15000.0|DELETED|Sales
INV-0009|/Date(1451606400000+0000)/|Unit B|Electricity Unit B|200|1.0|||15000.0|DELETED|Sales
INV-0009|/Date(1451606400000+0000)/|Unit B|Water Unit B|200|1.0|||15000.0|DELETED|Sales
INV-0001|/Date(1451606400000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|20370.0|PAID|Sales
INV-0001|/Date(1451606400000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|20370.0|PAID|Sales
INV-0001|/Date(1451606400000+0000)/|Unit A|Electricity Unit A|200|1.0|5068.0|5068.0|20370.0|PAID|Sales
INV-0001|/Date(1451606400000+0000)/|Unit A|Water Unit A|200|1.0|1302.0|1302.0|20370.0|PAID|Sales
INV-0002|/Date(1451606400000+0000)/|Unit B|Water Unit B|200|1.0|806.0|806.0|19488.0|PAID|Sales
INV-0002|/Date(1451606400000+0000)/|Unit B|Electricity Unit B|200|1.0|3682.0|3682.0|19488.0|PAID|Sales
INV-0002|/Date(1451606400000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|19488.0|PAID|Sales
INV-0002|/Date(1451606400000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|19488.0|PAID|Sales
INV-0003|/Date(1451606400000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|17436.0|PAID|Sales
INV-0003|/Date(1451606400000+0000)/|Unit C|Electricity Unit C|200|1.0|2630.0|2630.0|17436.0|PAID|Sales
INV-0003|/Date(1451606400000+0000)/|Unit C|Water Unit C|200|1.0|806.0|806.0|17436.0|PAID|Sales
INV-0003|/Date(1451606400000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|17436.0|PAID|Sales
INV-0008|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|17991.0|PAID|Sales
INV-0008|/Date(1451606400000+0000)/|Unit D|Electricity Unit D|200|1.0|2185.0|2185.0|17991.0|PAID|Sales
INV-0008|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|17991.0|PAID|Sales
INV-0008|/Date(1451606400000+0000)/|Unit D|Water Unit D|200|1.0|806.0|806.0|17991.0|PAID|Sales
INV-0010|/Date(1451606400000+0000)/|Unt F|Dues Unit F - charge to deposit 1000||1.0|||317.51|PAID|Sales
INV-0010|/Date(1451606400000+0000)/|Unt F|Electricity Unit F|200|1.0|131.51|131.51|317.51|PAID|Sales
INV-0010|/Date(1451606400000+0000)/|Unt F|Rent Unit F - charge to deposit 14000||1.0|||317.51|PAID|Sales
INV-0010|/Date(1451606400000+0000)/|Unt F|Water Unit F|200|1.0|186.0|186.0|317.51|PAID|Sales
INV-0007|/Date(1451606400000+0000)/|Unit E|Unit E Water|200|1.0|2046.0|2046.0|24380.0|PAID|Sales
INV-0007|/Date(1451606400000+0000)/|Unit E|Unit E Dues|200|1.0|7334.0|7334.0|24380.0|PAID|Sales
INV-0007|/Date(1451606400000+0000)/|Unit E|Electricity Unit E|200|1.0|14000.0|14000.0|24380.0|PAID|Sales
INV-0007|/Date(1451606400000+0000)/|Unit E|Dues Unit F|200|1.0|1000.0|1000.0|24380.0|PAID|Sales
INV-0012|/Date(1454284800000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID|Sales
INV-0018|/Date(1454284800000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID|Sales
INV-0013|/Date(1454284800000+0000)/|Unit D|Rent Unit D||1.0||||PAID|Sales
